# This data is used by Talking Diary application for tetsing
# Ist column show Text, second columns indicate Category
# This Dataset is copyright. Please email at aummehanimunir@gmail.com and cite this work for use.

Yesterday it was the last major event of the summer, event
This article recounted the events of the past year, event
I had no memory of the events that happened last year, event
The car accident was caused by an unusual sequence of events, event
I like to arrive at social events early, event
Its the only event on the golf tour that I haven’t yet won, event
In April we have a lot of school events, event
The review article covers all the events at the fair, event
In the event of rain the game will not be held, event
On the whole the event was successful, event
It is important to attend the event on this weekend, event
Set the event on Thursday, event
I postponed the event before Exams, event
I won the event, event
In April we have a lot of school events, event
The event made Ali famous, event
I have to attend an event tomorrow, event
My friend invited me on his wedding, event
There is an event in our university, event
There is an event near me in Lahore tomorrow, event
The newspaper always informs us about the new events in our country, event
I think I have to organize this event for my friend, event
Remind me of my friend important event tomorrow at 11:00 p.m., event
The event was held in University Park, event
The Election was the main event in 2018, event
I have attended many events this month, event
Tom is on the committee in charge of the events, event
Yesterdays event affected Ahmeds future, event
An unforgettable event occurred, event
That same event happened 15 years ago, event
The event made him famous, event
I won the last event, event
Some events seem connected but really arent, event
They also do special events on holidays such as New Years Evening, event
Reservations are recommended for Rooftop events, event
Additionally the restaurant often features live music and special events, event
Metro Restaurant likes to do big events but will only serve food from a smaller catering menu, event
Many companies and people host their events from birthdays anniversaries, event
Special events live music and displays are routinely scheduled at this County restaurant, event
The lounge decorated with a fireplace typically is used for events, event
Tomorrow is a birthday party at cousins house, event
Exams start next week, event
Football Season starts from August, event
In April we have a lot of University events, event
Holidays start after exams,event
Next weekend there is a football match, event
Fifa World Cup is coming this summer, event
There is a workshop about Android Development on Tuesday, event
I have to attend my friends wedding, event
This weekend I 'll hang out with my friends, event
Ive got ten events lined up for me this week, event
I have to attend a wedding this weekend, event
My University is hosting a dinner party for the newcomers on this Saturday, event
I dont want to go to his sons birthday party this weekend it would ruin my plans, event
My parents left the country last month to attend the new years celebration in Italy, event
Almost all of my family went out and voted on elections day, event
The mall near my house had a grand concert last night and it was a lot of fun, event
It is always nice to meet new people and friends whenever our office has its annual dinner party every December, event
My summer vacations are ending in September, event
I have to go back to my parents house to attend their wedding anniversary in May, event
I am going to attend the event this weekend, event
I am arranging an event, event
The event will start at the mentioned time, event
I am not attending the event, event
The event has been postponed, event
This is going to be a national event, event
I Am going to a party tomorrow, event
Today is a school fun day, event
We are organizing a party tomorrow, event
We will play in a school tournament tomorrow, event
We have to practice for tomorrows event, event
There are 5 teams in a sports tournament, event
Kips is holding a football tournament, event
My university is organizing a football tournament, event
I am having a party today, event
Are you coming in tomorrows carnival festival, event
Ill be too busy to come to the meeting, Meetings
The time appointed for the meeting was 8 sharps, Meetings
The sports meeting was held in the stadium, Meetings
The chairman spoke for half an hour at the meeting, Meetings
The PM presided over a meeting of his inner Cabinet, Meetings
Ali is absent from the meeting, Meetings
The meeting today is very important, Meetings
Set a meeting at 9 PM., Meetings
I have a meeting out of town, Meetings
Tomorrow is my Meeting at 11:00 p.m., Meetings
I have a meeting with HOD tomorrow, Meetings
Remind me of my meeting at Monday morning, Meetings
Organize a meeting on 27th February with my Supervisor, Meetings
Mr. Abubakar and Mr. Waqar are attending a meeting in conference hall, Meetings
The purpose of todays meeting is how to teach programming in a good way, Meetings
Tomorrow meeting is about of last month’s performance, Meetings
Tomorrow meeting is very important with Project Manager, Meetings
HOD call the meeting in 1 hour, Meetings
Ive been looking forward to meeting Imran, Meetings
Umar doesnt have any idea how important this meeting is, Meetings
If its at all possible Id like you to take part in the next meeting, Meetings
He is pushed into a meeting of the legislature, Meetings
Why would Ali be meeting with me?, Meetings
I have a meeting out of town, Meetings
He is really interested in meeting me, Meetings
We are attending a general meeting, Meetings
What is the meeting schedule for today?, Meetings
We are going to have another department meeting on Friday, Meetings
The Chairman spoke for half an hour at the meeting, Meetings
My job is to attend the meeting and report back to the board of directors, Meetings
We have a meeting tomorrow morning, Meetings
We set up a meeting for next week, Meetings
We went to a meeting this afternoon, Meetings
The meeting finished late, Meetings
I have a first meeting tomorrow, Meetings
What is the meeting schedule for today?, Meetings
We held an official meeting to discuss employee layoffs, Meetings
We had a meeting among the family members, Meetings
Faculty meeting on Tuesday, Meetings
Project meeting tomorrow, Meetings
Weve got a meeting at two, Meetings
I have a meeting out of town, Meetings
Were going to have another departmental meeting on Friday, Meetings
We have a meeting tomorrow morning, Meetings
We set up a meeting for next week, Meetings
There is an official meeting of BODs, Meetings
HOD holds a meeting of all faculty members, Meetings
Captain holds a meeting to address the soldiers before the war, Meetings
I met her at my office after we were done with our weekly meeting, Meetings
Im meeting up with my friends after lunch, Meetings
My sons Parent Teacher Meeting is on this Friday, Meetings
Im busy with meetings all day at the office I don't have any extra time, Meetings
Ive had two meetings with her so far, Meetings
